Day of Week,Director,Genre,Movie Title,Release Date,Studio,Adjusted Gross ($mill),Budget ($mill),Gross ($mill),IMDb Rating,MovieLens Rating,Runtime (min),Overseas ($mill)
Friday,Roger Spottiswoode,action,Tomorrow Never Dies,19/12/1997,MGM,493.4,110,333,6.5,3.23,119,207.7
Wednesday,Joe Johnston,action,Jurassic Park III,18/07/2001,Universal,495.2,93,368.8,5.9,2.65,92,187.6
Friday,Carlos Saldanha,animation,Rio 2,11/4/2014,Fox,502.5,130,500.2,6.4,3.08,101,368.7
Friday,Sam Raimi,adventure,Oz The Great and Powerful,8/3/2013,Buena Vista Studios,503.6,200,493.3,6.4,2.99,130,258.4
Friday,Michael Bay,action,The Rock,7/6/1996,Buena Vista Studios,507.9,75,335.1,7.4,3.7,136,201
Friday,Paul Greengrass,action,The Bourne Ultimatum,3/8/2007,Universal,508,130,442.8,8.1,3.98,115,215.4
Wednesday,Sam Mendes,drama,American Beauty,15/09/1999,DreamWorks,508.6,15,356.3,8.4,4.17,122,226.2
Friday,Rupert Wyatt,sci-fi,Rise of the Planet of the Apes,5/8/2011,Fox,509.4,93,481.8,8.6,4.07,105,305
Friday,Mimi Leder,action,Deep Impact,8/5/1998,Paramount Pictures,509.9,80,349.5,6.1,2.95,120,209
Friday,David Fincher,crime,Seven,22/09/1995,New Line Cinema,510.7,30,327.3,8.7,4.05,127,227.2
Friday,Carlos Saldanha,animation,Rio,15/04/2011,Fox,512.3,90,484.6,7,3.36,96,341
Friday,Michael Apted,action,The World Is Not Enough,19/11/1999,MGM,516.4,135,361.8,6.4,3.2,128,234.9
Friday,Nancy Meyers,comedy,What Women Want,15/12/2000,Paramount Pictures,516.6,65,374.1,6.4,3.14,127,191.3
Friday,Todd Phillips,comedy,The Hangover,5/6/2009,WB,518.2,35,467.5,7.8,3.77,100,190.2
Friday,Roger Michell,comedy,Notting Hill,28/05/1999,Universal,519.4,42,363.9,7,3.45,124,247.8
Friday,Zack Snyder,action,300,9/3/2007,WB,523.2,60,456.1,7.8,3.68,117,245.5
Friday,Jon Turteltaub,action,National Treasure: Book of Secrets,21/12/2007,Buena Vista Studios,524.7,130,457.4,6.5,3.3,124,237.4
Friday,Joel Schumacher,action,Batman Forever,16/06/1995,WB,525.1,100,336.5,5.4,2.92,121,152.5
Wednesday,Steven Spielberg,adventure,Hook,11/12/1991,TriStar,525.4,70,300.9,6.7,3.18,144,181.2
Thursday,Bryan Singer,action,X2: X-Men United,24/04/2003,Fox,526.9,110,407.7,7.5,3.68,134,192.8
Wednesday,Steven Spielberg,biography,Schindler's List,15/12/1993,Universal,528.8,25,321.3,8.9,4.31,195,225.2
Wednesday,John Lasseter,animation,A Bug's Life,25/11/1998,Buena Vista Studios,530.2,120,363.4,7.2,3.61,96,200.6
Friday,Gareth Edwards,action,Godzilla (2014),16/05/2014,WB,531.1,160,528.7,6.5,2.96,123,328
Friday,Louis Leterrier,action,Clash of the Titans,2/4/2010,WB,537.9,125,493.2,5.8,2.8,106,330
Friday,Ron Howard,thriller,Angels & Demons,15/05/2009,Sony,538.6,150,485.9,6.7,3.28,138,352.6
Friday,Kenneth Branagh,drama,Cinderella,13/03/2015,Buena Vista Studios,539,95,539,7.3,3.48,105,338.7
Friday,M. Night Shyamalan,drama,Signs,2/8/2002,Buena Vista Studios,539.6,70.7,408.2,6.7,3.27,106,180.3
Wednesday,"Bobby Farrelly, Peter Farrelly",comedy,There's Something About Mary,15/07/1998,Fox,539.7,22,369.9,7.1,3.55,119,193.4
