,Overseas ($mill)
501,0.10395839644552156
502,0.23593860446329395
503,0.19388064222962736
504,0.1434413813995759
505,0.18585277188730687
506,0.11410683631222861
507,0.2161971119862668
508,0.17726951428859944
509,0.23735231747955166
510,0.05367060486721195
511,0.0980510956275876
512,0.09749570837120065
513,0.24416843380793696
514,0.0656871655054024
515,0.19898010703827124
516,0.21140058568110676
517,0.22669898010703826
518,0.1849439563768555
519,0.0572048874078562
520,0.16313238412602243
521,0.2540139351711603
522,0.1540947187720893
523,0.19761688377259418
524,0.173482782995052
525,0.23578713521155203
526,0.062405331717661314
527,0.12021609613248511
528,0.15247904675350904
529,0.2810764414823791
530,0.12107442189235586
531,0.14732909219428458
532,0.24765222659800057
533,0.07270524083611028
534,0.2133696859537514
535,0.14732909219428458
536,0.19857618903362617
537,0.24931838836716147
538,0.2454306775724528
539,0.20519034635968902
540,0.13536302130667477
541,0.3377764313844289
542,0.11617691608603455
543,0.17302837523982634
544,0.21675249924265372
545,0.12178127840048471
546,0.19554680399878827
547,0.048470160557406855
548,0.20887609815207514
549,0.3297485610421084
550,0.16782793093002124
551,0.3307583560537211
552,0.3247500757346259
553,0.18342926385943653
554,0.2806220337271534
555,0.25254973240432194
556,0.0479147733010199
557,0.2561849944461274
558,0.2128647884479451
559,0.29566797940018175
560,0.31172372008482274
561,0.3368171261233969
562,0.3034434009895991
563,0.18736746440472585
564,0.15187316974654147
565,0.28274260325153994
566,0.30652327577501765
567,0.3825608401494497
568,0.409825305462991
569,0.21347066545491267
570,0.32535595274159346
571,0.29758658992224574
572,0.06003231344037162
573,0.3823588811471272
574,0.2179642532565889
575,0.303594870241341
576,0.28784206806018375
577,0.2570433202059982
578,0.3657982429566798
579,0.0630112087246289
580,0.25699283045541754
581,0.270928001615672
582,0.23442391194587497
583,0.38346965565990104
584,0.35272139755629606
585,0.3009189134605675
586,0.4173482782995052
587,0.3081389477935979
588,0.4403716045642735
589,0.03190952236695951
590,0.46127436130465516
591,0.08043017267494698
592,0.35100474603655457
593,0.25527617893567606
594,0.5623043522165001
595,0.10148439866707058
596,0.4283045541755024
597,0.2614359285065132
598,0.2927395738665051
599,0.012168029889932347
600,0.1569726345551853
601,0.08270221145107542
602,0.05220640210037364
603,0.0815409471877209
604,0.13506008280319093
605,1.0
606,0.7478541856003231
607,0.07805715439765729
